,Abstract Noun,Common Noun,Material Noun,Verbal Noun,Noun,Proper Noun,Pronoun,Adverb,Verbable,neg_v_verb,Verb-Trans.,Verb-Intran.,Adjective,Adjective Adj.,Proper Adj.,Verbal Adj.,Conjuction,Interjection,Adposition,Others,derivational,abs,erg,gen,acc,dat,loc,inst,number,modal,adj_comp,after_comp,reason_comp,when_comp,present-2i,present-3a,present-2n,present-2f,present-1,past-3a,past-2f,past-2a,past-1,future-2f,future-2n,future-3a,future-1,ardha,infix,dash,manner,mod_attr,quantity,compare,emph,without,t_loc,negative,numerical,other,ws,we
Verb-Trans.,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0019940179461615153,0.22731804586241275,0.18444666001994017,0.04885343968095713,0.01296111665004985,0.0009970089730807576,0.22831505483549352,0.0019940179461615153,0.0029910269192422734,0.0259222333000997,0.06380857427716849,0.0009970089730807576,0.0009970089730807576,0.018943170488534396,0.024925224327018942,0.0019940179461615153,0.10269192422731804,0.005982053838484547,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576,0.0009970089730807576
Verb-Intran.,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.09178228388473852,0.13233724653148346,0.010672358591248666,0.008537886872998933,0.0010672358591248667,0.3831376734258271,0.0010672358591248667,0.0010672358591248667,0.016008537886873,0.14194236926360726,0.0010672358591248667,0.0010672358591248667,0.011739594450373533,0.014941302027748132,0.0010672358591248667,0.13020277481323372,0.004268943436499467,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667
Adjective,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516
Adjective Adj.,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152
Proper Adj.,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.08583690987124463,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.15021459227467812,0.004291845493562232,0.02575107296137339,0.08583690987124463,0.004291845493562232,0.008583690987124463,0.0944206008583691,0.008583690987124463,0.13304721030042918,0.004291845493562232,0.004291845493562232,0.017167381974248927,0.008583690987124463,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.012875536480686695,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.02145922746781116,0.02575107296137339,0.004291845493562232,0.017167381974248927,0.004291845493562232,0.10300429184549356,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232
Verbal Adj.,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.05263157894736842,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105
Conjuction,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.45045045045045046,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009
Interjection,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516
Adposition,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.14084507042253522,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521
Others,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516
